khi = 0.1, h = 0.01, yR_h = 1.64140055995201e-07, yR_h2 = 1.6409265280565374e-07, acc = 0.0002888806338173393
khi = 0.1, h = 0.005, yR_h = 1.6409265280565374e-07, yR_h2 = 1.6408078952588673e-07, acc = 7.23014546753904e-05
khi = 0.1, h = 0.0025, yR_h = 1.6408078952588673e-07, yR_h2 = 1.6407373911135775e-07, acc = 4.297101149256109e-05
khi = 0.55, yR = 1.3689068961132813e-06, FR = 743.8470531075526, h = 0.00125
khi = 0.325, yR = 7.664903176123192e-07, FR = 2360.5023308747554, h = 0.00125
khi = 0.21250000000000002, yR = 4.652820283618393e-07, FR = 3168.829969758359, h = 0.00125
khi = 0.15625, yR = 3.146778837365979e-07, FR = 3572.9937892001617, h = 0.00125
khi = 0.128125, yR = 2.3937581142397823e-07, FR = 3775.075698921057, h = 0.00125
khi = 0.1421875, yR = 2.770268475802881e-07, FR = 3674.034744060608, h = 0.00125
khi = 0.14921875, yR = 2.958523656584429e-07, FR = 3623.514266630387, h = 0.00125
khi = 0.152734375, yR = 3.052651246975207e-07, FR = 3598.2540279152745, h = 0.00125
khi = 0.1544921875, yR = 3.0997150421705957e-07, FR = 3585.6239085577176, h = 0.00125
khi = 0.15361328125, yR = 3.0761831445729035e-07, FR = 3591.9389682364954, h = 0.00125
khi = 0.15317382812500002, yR = 3.064417195774057e-07, FR = 3595.0964980758827, h = 0.00125
khi = 0.15339355468750002, yR = 3.070300170173476e-07, FR = 3593.5177331561836, h = 0.00125
khi = 0.15350341796875, yR = 3.0732416573731904e-07, FR = 3592.728350696343, h = 0.00125
khi = 0.15344848632812502, yR = 3.071770913773332e-07, FR = 3593.1230419262642, h = 0.00125
khi = 0.15342102050781253, yR = 3.071035541973403e-07, FR = 3593.320387541226, h = 0.00125
khi = 0.15343475341796878, yR = 3.0714032278733654e-07, FR = 3593.2217147337456, h = 0.00125

Solution: khi = 0.15343475341796878, yR = 3.0714032278733654e-07, FR = 3593.2217147337456, h = 0.00125
