khi = 1, h = 0.01, yR_h = 2.1725769175253383e+21, yR_h2 = 1.4251393495849312e+23, acc = 0.9847553369559398
khi = 1, h = 0.005, yR_h = 1.4251393495849312e+23, yR_h2 = 3.4275081181624e+23, acc = 0.5842054050774954
khi = 1, h = 0.0025, yR_h = 3.4275081181624e+23, yR_h2 = 3.82707661844609e+23, acc = 0.10440567046863232
khi = 1, h = 0.00125, yR_h = 3.82707661844609e+23, yR_h2 = 3.8572335924994716e+23, acc = 0.007818290837252604
khi = 1, h = 0.000625, yR_h = 3.8572335924994716e+23, yR_h2 = 3.8568743343348555e+23, acc = 9.314749029229966e-05
khi = 1, h = 0.0003125, yR_h = 3.8568743343348555e+23, yR_h2 = 3.853994610492742e+23, acc = 0.0007472049478931031
khi = 1, h = 0.00015625, yR_h = 3.853994610492742e+23, yR_h2 = 3.854772615479547e+23, acc = 0.00020182902194564487
khi = 1, h = 7.8125e-05, yR_h = 3.854772615479547e+23, yR_h2 = 3.8540073940728866e+23, acc = 0.00019855213766254746
khi = 1, h = 3.90625e-05, yR_h = 3.8540073940728866e+23, yR_h2 = 3.854198940051435e+23, acc = 4.9697999902839186e-05
khi = 1, h = 1.953125e-05, yR_h = 3.854198940051435e+23, yR_h2 = 3.8541031985034306e+23, acc = 2.484145936762622e-05
khi = 1, h = 9.765625e-06, yR_h = 3.8541031985034306e+23, yR_h2 = 3.854055321810777e+23, acc = 1.2422419673813326e-05
khi = 0.55, yR = -1.51267782590772e+29, FR = 2.4051184468057176e+39, h = 4.8828125e-06
khi = 0.775, yR = -7.563369859261999e+28, FR = 1.2025561594789511e+39, h = 4.8828125e-06
khi = 0.8875, yR = -3.7816656593544e+28, FR = 6.012750158155522e+38, h = 4.8828125e-06
khi = 0.94375, yR = -1.8908135594005558e+28, FR = 3.0063444398385035e+38, h = 4.8828125e-06
khi = 0.971875, yR = -9.453875094236685e+27, FR = 1.5031415806800477e+38, h = 4.8828125e-06
khi = 0.9859375, yR = -4.7267448443537253e+27, FR = 7.515401511010545e+37, h = 4.8828125e-06
khi = 0.99296875, yR = -2.3631797194102214e+27, FR = 3.757394363112328e+37, h = 4.8828125e-06
khi = 0.996484375, yR = -1.1813971569382728e+27, FR = 1.8783907891629424e+37, h = 4.8828125e-06
khi = 0.9982421875, yR = -5.9050587570333975e+26, FR = 9.38889002189888e+36, h = 4.8828125e-06
khi = 0.99912109375, yR = -2.9506023508611712e+26, FR = 4.6913810870375715e+36, h = 4.8828125e-06
khi = 0.999560546875, yR = -1.4733741477661733e+26, FR = 2.3426266195927267e+36, h = 4.8828125e-06
khi = 0.9997802734375, yR = -7.347600462230364e+25, FR = 1.1682493858772698e+36, h = 4.8828125e-06
khi = 0.99989013671875, yR = -3.6545299544925414e+25, FR = 5.810607690160103e+35, h = 4.8828125e-06
khi = 0.999945068359375, yR = -1.8079947006404485e+25, FR = 2.8746646058805885e+35, h = 4.8828125e-06

Solution: khi = 0.999945068359375, yR = -1.8079947006404485e+25, FR = 2.8746646058805885e+35, h = 4.8828125e-06
